R0,sigma,gamma,omega,rho,i0,peak_count,ridge_max_abs_dLL,lam_rel_min,cos_vmin_ridge,n_sloppy,drs,drs_control,a_hi,a_lo
1.1899644732545789,3.7382739627551054,1.7352428422651232,0.005307362609906909,0.07221194797830306,3.775745258622282e-05,12.196353157743383,0.11712726525700745,2.1136171685956204e-17,0.02455407355890331,4,0.006831901849613327,0.048232201790924294,1,2
1.1717201846983623,2.3530754593258822,2.3843929711810734,0.018221614318912272,0.1250778661184687,7.393265586953055e-06,3.6768266114081554,0.006330538963974064,7.421732298018593e-18,0.06648932131324709,4,0.007348713600890633,0.03350348248723315,1,2
1.3714676080859052,2.8236881070311863,1.1347573805606586,0.02574190430447431,0.2644908027865287,7.422021043494432e-06,9.59105933162588,0.0029737146100785594,4.492285946676077e-18,0.0679313674742765,4,0.006133694493613186,0.11437276807577892,1,2
1.4287092281357057,3.9789117183976868,2.4566584587701747,0.0076499826662818045,0.19794540617803574,6.6322952799558304e-06,71.3172198325679,0.0711315472458729,1.917669300030952e-18,0.015751176966121196,4,0.007140761855518001,0.009001833414915037,1,2
1.2631747435528955,4.196605019323815,1.2406114188062665,0.026511311684399286,0.4314993119574554,1.6548507045266029e-06,3.1184585831164915,0.0005886566416242189,4.0675489208613364e-19,0.07957593932781329,4,0.006588517191052888,0.0685007286522166,1,2
1.3019521240594114,2.8301905423298526,1.0791345040170828,0.03221724042017354,0.1455333644654972,1.7820631446932776e-06,0.8542257463409095,0.0009210732730151605,3.6256905580563404e-19,0.09888170014275809,4,0.0062353616378233185,0.08981934120806417,1,2
1.3753062758524324,2.576613479347439,2.2841019852328817,0.007853702052048816,0.054282968169375605,2.193312081758764e-06,1.8942510058296247,0.0009023100991569777,1.0750971763084351e-19,0.01652199712013293,4,0.007079049230408008,0.2145852158169737,1,2
1.2606509908901586,3.598719052238214,2.2939666864429555,0.021318165079481883,0.11618725673103177,1.068252412310958e-06,1.402988140053846,0.0016884150845486445,2.5444807509455388e-19,0.05399737555704546,4,0.007267530137374049,0.06510511396279693,1,2
1.1998872617729759,6.968814651177028,1.5238400408301722,0.02103978189032351,0.05727521801180499,1.142484725786344e-06,0.36287819584452585,0.0002629404433660554,2.6812197340724923e-19,0.06183140904892335,4,0.007547847085146333,0.0389981753354777,1,2
1.439819302760252,4.177127902364588,1.3269298316710645,0.009673634368736755,0.062412729460783564,1.964990580900448e-06,1.6055883919787375,0.0021911014920199534,8.5462402672759e-20,0.014653823673799644,4,0.006320768150102959,0.17185208075132802,1,2
