R0,rho,i0,n_sloppy,a_hi,a_lo,nll,rho_pass1,mean_count,drs_var,drs_geo,margin,margin_sd,margin_snr,drs_var_control,drs_geo_control,region,season,n_decades
1.15,135.08796922640798,5.135228240492032e-06,3,1,0,38.05218791056795,183.0345475317679,697.5,0.4762515260256363,0.006506023417864945,0.0018808865292323938,6.789303716127282e-05,27.70367342330767,0.049486390429067995,0.00121791751829593,ca,2015-2016,1.0
1.150000001129789,17.749812833009248,4.588362482826804e-05,3,1,0,39.04848769289197,17.749818595935455,815.6666666666666,0.4759621784509625,0.0064946707543234675,0.0012125009216512501,0.0006019097300045404,2.014423195388624,0.053855662826677204,0.0013934866722473784,ca,2016-2017,1.0
1.15,153.50536719007113,5.666819738494801e-06,3,1,0,39.60684018144994,199.3599154281373,868.6666666666666,0.47635335062348877,0.006497897625504961,0.0018721285451903523,7.489542020147567e-05,24.996569084653665,0.049340780980044054,0.001213590631147951,ca,2017-2018,1.0
1.15,51.2461670093721,1.4692931124680984e-05,3,1,0,38.58421996636169,63.502474039891375,759.8333333333334,0.4762392122242684,0.006502362950964877,0.001723540392351927,0.0001939454247701672,8.88672880215859,0.050283505390646986,0.0012517103623275673,ca,2018-2019,1.0
1.15,226.61017231431333,4.184401481418353e-06,3,1,0,39.849788419545646,283.6925615255555,960.0,0.47640364079994796,0.0064955197946346506,0.0018965529270257892,5.5315026997088465e-05,34.286396120273345,0.049107389000753975,0.001204622598235381,ca,2019-2020,1.0
1.15,98.25270199864497,6.697032793449128e-06,3,1,0,37.92316139412556,136.1511992258188,675.1666666666666,0.46978890986074723,0.006245238079372331,0.001851808833636801,9.152797188792373e-05,20.232162861691574,0.02876991449015888,0.0006104627823007607,ca,2020-2021,1.0
1.15,71.47563480095435,2.8289036457421845e-05,3,1,0,44.79107801133213,226.02580317741163,2007.5,0.4763866180413734,0.006476609208073415,0.0015003845573906636,0.0003720745104506206,4.032484126831325,0.05136924647661095,0.0012985793703551589,ca,2021-2022,1.0
1.1740122176955756,3774.902669796721,1.2003034884349956e-06,2,1,0,54.13722946592877,3774.902588081026,10810.5,0.28280349598840493,0.0010550201527514637,0.0018606151978323678,9.71730381025974e-05,19.14744289324257,0.01827430297785292,0.0005538986981506131,ca,2022-2023,1.0
1.1540990464730274,812.3639719211444,9.638893675637422e-06,3,1,0,53.28352838291305,631.037947797004,9130.666666666666,0.4260763683736678,0.0046502195583607835,0.0017565292718540139,0.00017250626037762984,10.182408847127244,0.16270654154500072,0.006869888748352387,ca,2023-2024,1.0
1.1500000011174476,373.60647915903064,1.9332481469971335e-05,3,1,0,52.050932605101224,373.606930018015,7266.333333333333,0.47663320223437267,0.006468649079938449,0.0016472946108009759,0.0002546944129022349,6.4677296687827,0.04997878597343709,0.0012454799338871532,ca,2024-2025,1.0
1.1500000010832534,155.45698414434298,4.3648257686303014e-05,3,1,0,51.74442277434582,155.459433199707,6801.0,0.4764564183988481,0.006466694786690668,0.001248755892321215,0.0005726586582348865,2.1806286770731313,0.05246515208041218,0.0013449836678712075,fl,2021-2022,1.0
1.1837772966242688,536.8048016181414,8.031115056641714e-06,2,1,0,54.173329585681245,668.2944686851789,10713.833333333334,0.2751970482048107,0.0010147481583558076,0.001150127355840665,0.0007603958900171424,1.512537575413166,0.021884926572410902,0.0007208217844657962,fl,2022-2023,1.0
1.15,1212.4874887185508,9.691030357679065e-06,3,1,0,54.91337481283421,2746.5722443559284,11848.833333333334,0.4767299492902509,0.006468219815608796,0.0018058494030162072,0.00012788802473680618,14.120551214491341,0.048949425107882485,0.0012039446827734569,fl,2023-2024,1.0
1.15,183.65874489405286,4.119730212039327e-05,3,1,0,52.43814633288499,227.61518678522094,7610.0,0.47650652788702125,0.006467113273647296,0.0012887458352776656,0.000540853529089675,2.382800085351737,0.052064938614117026,0.0013297767357828138,fl,2024-2025,1.0
1.15,17.913901627402872,1.926001129122561e-05,3,1,0,35.225112723222914,21.799187974995256,339.0,0.4756153548565705,0.006544283678507363,0.0016485124208401344,0.00025429590529053967,6.482654209302608,0.05198787434227196,0.0013120883910273861,ga,2015-2016,1.0
1.15,40.824810344762064,2.817470228818413e-05,3,1,0,41.025491343178246,40.82785627452492,1161.5,0.47627368927501407,0.00648759433114348,0.0015022003553316894,0.0003707790349133731,4.051470589977278,0.051504001933497925,0.0013026988844834083,ga,2016-2017,1.0
1.15,41.43186853633482,2.495115867414522e-05,3,1,0,40.72849507192455,59.30187690716771,1115.5,0.4518303441667072,0.005525763437160431,0.0015046575534522384,0.0003739025920289451,4.0241966371170745,0.006414959492579065,9.541399813181291e-05,ga,2017-2018,1.0
1.15,140.65751518796793,1.545276355492898e-05,3,1,0,44.91293833574154,172.09715243848342,2242.6666666666665,0.4733151619695966,0.006325160414614542,0.0017024302808301885,0.00021134775249201867,8.055114193345771,0.028883381202843162,0.0006265143595521121,ga,2018-2019,1.0
1.15,95.03987168381148,2.021051766361699e-05,3,1,0,45.104675084777924,124.52616629763523,2292.3333333333335,0.4490533536077653,0.00525366224500686,0.0015231343272586362,0.0003638934561596383,4.185660119676471,0.2480131782692453,0.011825039817243414,ga,2019-2020,1.0
