lambda_factor,lambda_value,ppf_median,ppf_mean,ppf_iqr25,ppf_iqr75,frac_snr_lt_1,snr_median,best_action_0_pct,best_action_1_pct,best_action_2_pct,best_plug_0_pct,best_plug_1_pct,best_plug_2_pct,frac_best_plug_ne_true,n_cells
0.1,0.0009827704,0.28274999999999995,0.2365390625,0.0025,0.418875,0.671875,0.8152663948698289,3.125,34.375,62.5,2.083333333333333,30.729166666666668,67.1875,0.18229166666666666,192
0.3,0.0029483112,0.3095,0.26906250000000004,0.116,0.386125,0.71875,0.764437784873528,25.0,34.375,40.625,11.979166666666668,47.91666666666667,40.10416666666667,0.34375,192
1.0,0.009827704,0.2665,0.26653645833333334,0.14437499999999998,0.375125,0.5,0.9831862020082296,37.5,40.625,21.875,36.45833333333333,42.1875,21.354166666666664,0.296875,192
3.0,0.029483112,0.19,0.20025,0.055125,0.300125,0.40625,1.9402102167216544,59.375,28.125,12.5,57.291666666666664,35.9375,6.770833333333333,0.25,192
10.0,0.09827704,0.068,0.121640625,0.007124999999999999,0.19725,0.21875,4.221034634285923,68.75,31.25,0.0,76.04166666666666,23.958333333333336,0.0,0.10416666666666667,192
