R0,rho,i0,peak_count,n_sloppy,drs_geo,drs_var,drs_geo_control,drs_var_control,margin,margin_sd,margin_snr,shrink_max,shrink_min
1.1899644732545789,0.07221194797830306,3.775745258622282e-05,12.196353157743383,2,0.0017814901905000922,0.3637725351430459,0.0005554503173801509,0.0428414535199576,0.002100891760131749,0.0007679828871586346,2.7355971015247227,1.6593239191479514,1.000000000093974
1.1717201846983623,0.1250778661184687,7.393265586953055e-06,3.6768266114081554,2,0.0006551297589174117,0.12573656491256424,0.0011074416668571902,0.03438890092373099,0.0012097276601450904,0.0009352664519981008,1.2934577708423427,1.5956750217032611,1.000000000022233
1.3714676080859052,0.2644908027865287,7.422021043494432e-06,9.59105933162588,2,0.0008786800468864441,0.13211053932900704,0.0021053171198299634,0.04192406059883577,0.0006190923801409698,0.0030868491891334645,0.20055802606759693,1.6329485064200924,1.0000000000277365
1.4287092281357057,0.19794540617803574,6.6322952799558304e-06,71.3172198325679,2,0.00035078043559352677,0.14613489464787924,0.0004771727649985284,0.18872103222547434,0.01471411948730416,0.02122023268996119,0.6934004778498529,1.6493340131308671,1.0000000000791043
1.2631747435528955,0.4314993119574554,1.6548507045266029e-06,3.1184585831164915,3,0.002201778574633164,0.1425762752375589,0.003096880729654397,0.04420991657509434,0.0016462967225236058,0.00040931477146530855,4.022079918176463,1.569384104612157,1.0000000000012055
1.3019521240594114,0.1455333644654972,1.7820631446932776e-06,0.8542257463409095,3,0.0012940953715073146,0.13529985813478704,0.017346707104448095,0.07630706122092691,0.0017300903631381381,0.0003043991005728049,5.683625082605467,1.4735870337317287,1.0000000000003935
1.3753062758524324,0.054282968169375605,2.193312081758764e-06,1.8942510058296247,3,0.0008100586228643692,0.07466834816369829,0.01402889850520681,0.1297107912272019,0.002213490709566548,0.0010141212637835037,2.1826686695320965,1.4261464772126282,1.0000000000005378
1.2606509908901586,0.11618725673103177,1.068252412310958e-06,1.402988140053846,3,0.00026175651693841214,0.022891268789927335,0.013511137795835996,0.1116639794990165,0.0007702694002187302,0.002077290131467245,0.3708049196164373,1.4270500128910637,1.0000000000008669
1.1998872617729759,0.05727521801180499,1.142484725786344e-06,0.36287819584452585,5,0.9984666312217602,0.9144435601713178,0.9871206753053444,0.8006314702308597,0.0017261950163452592,0.00040367250025227357,4.276226434217046,1.3245345069649168,1.0000000000001987
1.439819302760252,0.062412729460783564,1.964990580900448e-06,1.6055883919787375,3,0.0006177059115877845,0.07721006883711737,0.005550173190781799,0.10045068056502342,0.0021831930746609757,0.0010284466185550456,2.1228064104370667,1.4242748339652593,1.0000000000003273
1.1575370891900556,0.3138711271427766,2.149850644007803e-06,2.5553005927329604,3,0.001858922701798889,0.15153443541797035,0.0025111668798994775,0.04619099848585397,0.0017782164076664167,0.0002392427543314707,7.432686572412131,1.5662385986089853,1.0000000000002132
1.1690767618506792,0.3697069928495832,2.1042297388516533e-06,4.912288879336087,2,0.00033579630895335375,0.08480706864531529,0.0007400957327167787,0.03672242185681143,0.0015284620584409083,0.0005982468844531737,2.5549018275924595,1.5817768231282916,1.0000000000004095
1.1787400858578192,0.17029405197702885,2.812454380413916e-05,9.260822411874853,2,0.002007971590069065,0.2837027299891672,0.000990864930533227,0.014494741241786784,0.000994419818289872,0.0009379264858747685,1.0602321538690893,1.6888190053530585,1.00000000019843
1.218323426886194,0.5181864186222851,3.7915395774879366e-06,5.671312396589089,2,0.0012151940403425728,0.18736227209651224,0.00114502208653445,0.023546750071099364,0.00167126728692344,0.0003246375290125641,5.148102537642094,1.6413624680801306,1.0000000000115281
1.2912476508210438,0.059121961757305226,4.857890728554621e-06,2.5101331827921967,3,0.0009716186115814873,0.05925325729116287,0.00883846894031555,0.08701617694303938,0.0019283508987997127,0.005910785166960854,0.3262427654414671,1.5017091254263386,1.0000000000010376
1.227382935190575,0.2587152172916726,1.5002424052243431e-05,39.3670096241396,3,0.0009893611860340703,0.31032645964337663,0.036832610926149964,0.497610579095812,0.002127178885829673,0.0008162035992281659,2.606186603246073,1.682059100648097,1.0000000004188516
1.4152280462865117,0.07144363981101191,5.660648359045704e-06,4.3810496487954165,3,0.0011393397122861219,0.1317766301606584,0.0032623335147906347,0.09216193170118289,0.0015186635440433078,0.0016991011372804036,0.8938040889514641,1.5116294362683458,1.0000000000155682
1.4171960401659298,0.12213518000826322,1.8924685342238838e-06,11.87532796521149,3,0.0009471584515355938,0.08739577821157889,0.0016124330235366268,0.18401259499359826,0.0012692205410766181,0.006068211874282457,0.20915890337574916,1.4886910974096268,1.0000000000020548
1.499522801681568,0.05816715092924452,3.011326640630883e-05,15.473911779323867,2,0.0011144256863405758,0.20026601090926313,0.022918055199294952,0.22773824728589007,0.005900221106241283,0.009153768416895988,0.64456744343135,1.6269967738033113,1.0000000001376068
1.3618515214743898,0.22820645917758894,2.4750779187021695e-06,4.083832424611397,3,0.0018929415814099863,0.09799522085805701,0.0024892086586413443,0.050662357207240195,0.00012362687057081373,0.0025535224488716186,0.04841424857080989,1.5549645647413983,1.0000000000002176
1.1618672731669,0.11206984503906019,1.2393854034263675e-05,3.478702993284895,2,0.0012684628988980863,0.1966628582825478,0.0014456132478595184,0.024488129006752533,0.001370896275263378,0.0006518549691565982,2.1030694558286647,1.6269896099812986,1.000000000029959
1.2627691147729307,0.4829172503446281,1.5721844831395376e-06,2.5005912448982563,2,0.0010743592088978378,0.14353948176046952,0.001517726775161709,0.028719513486750593,0.0017838633666336255,0.00021759023235923175,8.198269505446122,1.5813311790426576,1.0000000000001172
1.176631812661415,0.284878883877115,1.2983970387283e-06,2.6244145643064702,3,0.0016606182577098604,0.09866988832350422,0.0012186969377820552,0.04704636268961177,0.001620153464142216,0.0005208759180693888,3.110440333174294,1.521212313183811,1.0000000000041402
1.4247913096938247,0.05651947108546765,2.303367380509181e-05,12.067142465068178,3,0.003177167471730318,0.25874661362322765,0.032500888191469804,0.19516899896770634,0.002063862922856246,0.005323561479502061,0.38768462256010033,1.602124914306678,1.0000000001664138
1.391949564541414,0.35583048848047644,2.6505344505543107e-06,35.004385509608,2,0.00036510818198556263,0.13569500843641602,0.0014899933944640636,0.22050716590968233,5.5676115519018125e-05,0.0037433496713229412,0.01487334083308909,1.6136755037627244,1.0000000000101708
1.1929165696122184,0.22527840058805237,1.0559315430540364e-05,8.610591418698542,2,0.0008918479425372377,0.17556471300179094,0.000975529762855661,0.02876780889044334,0.000909661059580109,0.0011901742861494839,0.7643091185603528,1.6522061423664316,1.0000000000126978
1.22566340604266,0.10289247435276419,2.275757985190766e-05,10.201417572836773,2,0.0007589264967007432,0.15488493335448333,0.0020207459017530832,0.04876175710962862,0.0016685584000687482,0.004192247367486532,0.39801048311448634,1.6457918317481157,1.0000000004086917
1.2841000352103706,0.0948389412722884,4.612537800063287e-05,43.837487460149596,2,0.0010008429117612703,0.2901777741146169,0.02291327624334572,0.21552213310233925,0.0013769404182107448,0.004287681053910643,0.3211387229828781,1.6859768662519963,1.000000002478253
1.1797283122021534,0.07347664225017343,2.2799549861052584e-05,5.620291763234551,2,0.0009027650313251436,0.16638806662161698,0.0014930647499481408,0.036595619183051084,9.147209645894933e-05,0.002136805297778958,0.04280787611020406,1.634493106367107,1.0000000000166283
1.4162661052025367,0.10505400110628679,1.2462606563385294e-05,63.332588079080566,2,0.0003622692041582638,0.1477584732680548,0.0004847110542656566,0.18923751202153197,0.021470192531025303,0.028644910524223525,0.7495290485501453,1.6463233012948832,1.00000000226468
1.2587547053984738,0.441393099045771,1.4892861332233333e-05,40.389712630229866,3,0.0016224699290878276,0.36344665040874846,0.030936868188239455,0.4034880612059334,0.00222136376891721,0.0006692416964839588,3.319224998364181,1.69137906638781,1.0000000000333733
1.4016154171557331,0.20396856617131343,1.2773031689334664e-06,7.4723924522821585,3,0.0013870449165797522,0.10578859491618711,0.018548615431870055,0.13963728492047447,0.001808779338594216,0.0015680212595231423,1.1535426114976857,1.4935504000637208,1.0000000000019882
1.3327513063626628,0.17153425886729112,3.1431272222751554e-05,112.20189275090048,3,0.0006520921329814755,0.2504019936515679,0.00219321826624588,0.36747641036252043,0.006672064422983208,0.010140717602568934,0.6579479563944254,1.7011265608127006,1.0000000085390195
1.1835734579960522,0.23299284420037608,5.927190575460238e-06,5.532311167161466,2,0.0006730184154699821,0.13594623823244695,0.0008288112251334434,0.03296355882514641,0.0013053592095262898,0.0007969684896385789,1.6379056719272094,1.6132465222547747,1.000000000001925
1.2886329128866476,0.1397917060227202,7.897611738078805e-06,5.545875568268664,3,0.0025749933451965235,0.15745248629030587,0.0076824547998359605,0.0743580718060737,0.00020478227467527095,0.002749521544000969,0.07447923989614638,1.5914559954739775,1.0000000000203777
1.3131864598754766,0.07651785560047826,1.0458882959367903e-06,0.443108085896508,5,0.9974396056041425,0.8914629922455364,0.9699172550350209,0.7522677103094553,0.0015822547005396414,0.0006030635425266484,2.62369483306931,1.3533194646041466,1.0000000000001659
1.1708315883563578,0.5866276800890682,8.142131411198993e-06,29.121485446406655,2,0.0005526712762426589,0.19200192518257117,0.0006329506087824156,0.028466815286490525,0.000352417732499707,0.0018132162114939934,0.19436056784939815,1.6909908418748836,1.0000000000108862
1.1873021030342263,0.19202661377193678,3.0848590192696415e-06,1.4686027397810775,3,0.002009026006637659,0.1902269233706077,0.0015296610407876659,0.025169406169903773,0.0018015475358625173,0.0001902991053634799,9.466925934420342,1.5573846371481925,1.0000000000011073
1.230755914864514,0.1369588568655436,1.7903764098678638e-05,27.317042926968675,2,0.0008810584579406472,0.2765890583274341,0.0019382010763824024,0.08909723398111867,0.0018632652766664053,0.0011159764464200423,1.66962777990844,1.661079241367899,1.0000000004054221
1.4883813785729763,0.1765575477124243,1.3222735757358118e-06,1.5609382619348746,3,0.0005372344270447002,0.0575972842369403,0.009680644915141956,0.07311264526943023,0.0007619028461686114,0.00176034856287112,0.43281362693644687,1.480094038518063,1.0000000000000537
1.166460910345201,0.22760305869590874,1.121029089388817e-06,0.6032822939765803,4,0.005616749154398283,0.22633227677646486,0.4597944206372365,0.6271957522444127,0.0019150046684443876,6.188009154766517e-05,30.94702384157419,1.4627819069323154,1.0000000000000884
1.1638366449232704,0.123875361648415,3.2182481673378705e-05,20.10936623990894,2,0.0017372413712541264,0.4046616112499574,0.0003349632443343706,0.037352032020847956,0.002335772339818751,0.0005431271840338169,4.300599212270911,1.6817228173892567,1.0000000039516468
1.4720164749523708,0.07323310291872176,9.489516219713021e-06,22.25842612632015,3,0.0021572851421905927,0.18111711857295373,0.0024133935944962792,0.2605418418121643,0.013465336835908564,0.01993550705558903,0.6754449133579215,1.5827829234171664,1.0000000001002767
1.1767126070538834,0.15221945613956617,1.582826281950636e-06,1.5268767602054703,3,0.0007809693603804971,0.06567296392135931,0.0025975199341726086,0.0589303587097316,0.001613779481745376,0.0005425568977755741,2.9743967653193635,1.4822620836594922,1.0000000000037372
1.4616366407101962,0.26649832944888696,4.307156343121351e-06,152.65124822910283,2,0.00024150583961746826,0.12803177848139718,0.000279856314371321,0.14949940052920413,0.05155767609120721,0.06322955441634065,0.8154047038149452,1.6592187211222926,1.000000000554736
1.2073426063872563,0.2788156602594852,7.131049215278437e-06,9.467190654115976,2,0.0006712378657363951,0.14746179942199952,0.0009883885290676428,0.031113773957605333,0.0007542047592311667,0.001436859401181277,0.5248980927508403,1.643913042065111,1.000000000009926
1.295713651179831,0.07435857343037222,3.914815278846353e-05,17.095045289044812,2,0.0014142030259273533,0.30144754829522913,0.0018535107217008656,0.07366979404537316,0.0006256899168053422,0.002199487896193541,0.2844707251575098,1.648540348726474,1.000000000576623
1.3094270393313003,0.1347469658222902,1.644656611655907e-06,0.8981308888905561,3,0.0009359017882894001,0.10641586816442355,0.012580723388877347,0.07475491977031096,0.0016365806364476202,0.0004483572334181754,3.6501711458309596,1.4639267832396836,1.000000000000147
1.1599347468437793,0.4680185537749767,3.5384453387129684e-05,54.08696214166998,3,0.0024068673033666296,0.3430003295127204,0.11339177849691313,0.6044041437905328,0.0005238634863239007,0.0024331367148899127,0.21530376123875264,1.7191474147104313,1.0000000006070562
1.4748246999130399,0.134197667001882,4.7732361234441444e-06,19.941086356182424,3,0.0017418805282238153,0.16621661782239205,0.002307380580836566,0.2897170851861855,0.005014924517774654,0.009894237086043589,0.5068530776211644,1.5684542729011375,1.0000000000451468
